date,symbol,fiscalqtr,MarketCapBasic,TotalRevenue,CommonStock,NetIncome,TotalCurrentAssets,TotalCurrentLiabilities,TotalStockholdersEquity,EBIT,DebttoEquity,GrossMarginPctTTM,OperatingMarginPctTTM,BasicEPSNetIncome,PriceEarningsTTM,PriceEarningsFY,PriceBookFQ,ROA
2013-12-31 00:00:00.000000,AOS,Q4,10583064286.0,558900000.0,148500000.0,42400000.0,1205600000.0,590900000.0,1328700000.0,56900000.0,0.14443,0.4134,0.1737,0.46,38.3941,35.6279,6.9124,0.03191089034394521
2013-12-31 00:00:00.000000,APA,Q4,15792450000.0,2460000000.0,255000000.0,174000000.0,6366000000.0,4700000000.0,33396000000.0,447000000.0,0.2912,0.7318,0.1323,0.42,12.1554,12.345,2.1407,0.005210204814947898
2014-03-31 00:00:00.000000,MMM,Q1,130105625000.0,7831000000.0,9000000.0,1207000000.0,12762000000.0,7450000000.0,17448000000.0,1716000000.0,0.37695,0.4946,0.2285,1.83,27.459,28.9508,11.5381,0.06917698303530491
2014-03-31 00:00:00.000000,ABBV,Q1,147789600000.0,4563000000.0,16000000.0,980000000.0,17329000000.0,6216000000.0,4697000000.0,1351000000.0,3.06706,0.7505,0.3399,0.61,28.0606,29.2175,29.1226,0.20864381520119224
2014-03-31 00:00:00.000000,ACN,Q1,94167229797.0,7799696000.0,75000.0,751846000.0,11291459000.0,7828743000.0,4927831000.0,1091099000.0,0.00526,0.299,0.126,1.18,26.7856,23.518,10.3276,0.152571384854716
2014-03-31 00:00:00.000000,ATVI,Q1,49990200000.0,1111000000.0,0.0,293000000.0,5694000000.0,1893000000.0,6924000000.0,427000000.0,0.62392,0.6436,0.1865,0.4,184.1667,175.8889,5.3673,0.042316580011554014
2014-03-31 00:00:00.000000,AYI,Q1,5296302000.0,574700000.0,500000.0,44500000.0,979300000.0,395900000.0,1039600000.0,77400000.0,0.34013,0.4174,0.1393,1.03,15.8329,23.6984,3.2456,0.042804924971142744
2014-03-31 00:00:00.000000,ADBE,Q1,110831819640.0,1000120000.0,61000.0,47046000.0,3942391000.0,2112347000.0,6610883000.0,78746000.0,0.22837,0.8659,0.312,0.09,60.064,52.3382,13.0289,0.007116447228002674
2014-03-31 00:00:00.000000,AMD,Q1,9510480000.0,1397000000.0,8000000.0,-20000000.0,2690000000.0,1384000000.0,511000000.0,49000000.0,4.18395,0.3421,0.0383,-0.03,249.75,257.0,16.9879,-0.03913894324853229
2014-03-31 00:00:00.000000,AAP,Q1,7662260960.0,2969499000.0,7000.0,147726000.0,4641784000.0,3664247000.0,1666631000.0,255802000.0,1.24359,0.4358,0.0608,2.02,16.162,15.4798,2.2516,0.08863749684243243
